match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
1,211048,2005-02-17,,Eden Park,Auckland,New Zealand,Australia,Australia,bat,170,214,Australia,44.0,,,RT Ponting
2,211028,2005-06-13,,The Rose Bowl,Southampton,England,Australia,England,bat,179,79,England,100.0,,,KP Pietersen
3,222678,2005-10-21,,New Wanderers Stadium,Johannesburg,South Africa,New Zealand,New Zealand,field,133,134,New Zealand,,5.0,,JS Patel
4,226374,2006-01-09,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,South Africa,Australia,bat,209,114,Australia,95.0,,,DR Martyn
5,237242,2006-02-16,,Eden Park,Auckland,New Zealand,West Indies,New Zealand,field,126,126,tie,,,,DR Smith
6,238195,2006-02-24,,New Wanderers Stadium,Johannesburg,South Africa,Australia,South Africa,bat,201,199,South Africa,2.0,,,GC Smith
7,225271,2006-06-15,,The Rose Bowl,Southampton,England,Sri Lanka,Sri Lanka,bat,161,163,Sri Lanka,2.0,,,ST Jayasuriya
8,225263,2006-08-28,,County Ground,Bristol,England,Pakistan,England,bat,144,148,Pakistan,,5.0,,Shahid Afridi
9,255954,2006-12-01,,New Wanderers Stadium,Johannesburg,South Africa,India,South Africa,bat,126,127,India,,6.0,,KD Karthik
10,251487,2006-12-22,Sri Lanka in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,Sri Lanka,New Zealand,bat,162,62,Sri Lanka,18.0,,D/L,ST Jayasuriya
11,251488,2006-12-26,Sri Lanka in New Zealand T20I Series,Eden Park,Auckland,New Zealand,Sri Lanka,New Zealand,field,116,115,New Zealand,,5.0,,JEC Franklin
12,249227,2007-01-09,,Sydney Cricket Ground,,Australia,England,Australia,bat,221,144,Australia,77.0,,,CL White
13,258463,2007-06-28,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,West Indies,bat,193,208,West Indies,15.0,,,PD Collingwood
14,258464,2007-06-29,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,West Indies,bat,173,169,England,,5.0,,OA Shah
15,306987,2007-09-01,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Kenya,Bangladesh,Bangladesh,field,138,139,Bangladesh,,5.0,,Nazimuddin
16,306989,2007-09-02,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Bangladesh,Pakistan,Bangladesh,field,161,191,Pakistan,30.0,,,Imran Nazir
17,306991,2007-09-04,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Kenya,Pakistan,Kenya,bat,92,93,Pakistan,,8.0,,Younis Khan
18,287853,2007-09-11,ICC World Twenty20,New Wanderers Stadium,Johannesburg,South Africa,West Indies,South Africa,field,208,205,South Africa,,8.0,,CH Gayle
19,287854,2007-09-12,ICC World Twenty20,Kingsmead,Durban,Kenya,New Zealand,New Zealand,field,73,74,New Zealand,,9.0,,MR Gillespie
20,287855,2007-09-12,ICC World Twenty20,Kingsmead,Durban,Pakistan,Scotland,Scotland,field,171,120,Pakistan,51.0,,,Shahid Afridi
21,287856,2007-09-12,ICC World Twenty20,Newlands,Cape Town,Australia,Zimbabwe,Australia,bat,138,139,Zimbabwe,,5.0,,BRM Taylor
22,287857,2007-09-13,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Bangladesh,West Indies,Bangladesh,field,165,164,Bangladesh,,6.0,,Mohammad Ashraful
23,287858,2007-09-13,ICC World Twenty20,Newlands,Cape Town,England,Zimbabwe,England,bat,188,138,England,50.0,,,KP Pietersen
24,287860,2007-09-14,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Kenya,Sri Lanka,Kenya,field,88,260,Sri Lanka,172.0,,,ST Jayasuriya
25,287861,2007-09-14,ICC World Twenty20,Newlands,Cape Town,Australia,England,England,bat,136,135,Australia,,8.0,,NW Bracken
26,287862,2007-09-14,ICC World Twenty20,Kingsmead,Durban,India,Pakistan,Pakistan,field,141,141,tie,,,,Mohammad Asif
27,287863,2007-09-15,ICC World Twenty20,New Wanderers Stadium,Johannesburg,New Zealand,Sri Lanka,New Zealand,bat,164,168,Sri Lanka,,7.0,,ST Jayasuriya
28,287864,2007-09-15,ICC World Twenty20,Newlands,Cape Town,South Africa,Bangladesh,South Africa,field,146,144,South Africa,,7.0,,M Morkel
29,287865,2007-09-16,ICC World Twenty20,New Wanderers Stadium,Johannesburg,India,New Zealand,India,field,180,190,New Zealand,10.0,,,DL Vettori
30,287866,2007-09-16,ICC World Twenty20,Newlands,Cape Town,Australia,Bangladesh,Australia,field,124,123,Australia,,9.0,,B Lee
